id,name,category,x,y,visitorReviewCount,visitorReviewScore,searchName
-2,-2,-2,-2.0,-2.0,-2,-2.0,커피빈 코리아대학로대명거리점
1249465369,요거프레소 광산사거리점,카페,127.021935,37.642155,117,4.51,요거프레소 쌍문점
18682289,우성커피숍,카페,126.91842,37.58582,2,-1.0,우성커피숍
706648145,버블베어,"카페,디저트",126.813576,37.580334,38,3.98,버블베어
1738529746,알뤼르,여성의류,127.151054,37.55849,9,-1.0,알뤼르
20622021,로얄커피숍호프,카페,127.124245,37.534878,1,-1.0,로얄커피숍
20101247,카페 띵킹컵,카페,127.51068,36.63782,532,4.37,띵낑커피
36848905,커피빈 낙성대역점,카페,126.96148,37.478134,640,4.43,커피빈코리아낙성대역점 코리아낙성대역점
-2,-2,-2,-2.0,-2.0,-2,-2.0,000간
-2,-2,-2,-2.0,-2.0,-2,-2.0,탐앤탐스 막스앤스펜서점
-2,-2,-2,-2.0,-2.0,-2,-2.0,카페그리다
1794422522,노란고무줄,보세의류,127.018166,37.259377,2,-1.0,노란고무줄
13072449,커피랩,카페,126.92926,37.55497,339,4.43,커피랩
33586527,커핀그루나루 신천점,카페,127.0828,37.510937,495,4.33,커핀그루나루신천점 신천점
1915610438,터치카페 은평구청점,"카페,디저트",126.92573,37.600292,3,-1.0,터치카페
36513605,스테이 보드게임카페,보드카페,126.90156,37.48146,14,4.38,스테이보드게임카페
-2,-2,-2,-2.0,-2.0,-2,-2.0,홈플러스어라운드홈 강서점
37387550,빌리엔젤마리오아울렛,케이크전문,126.8849,37.478596,697,4.3,빌리엔젤마리오아울렛 마리오아울렛
1755908695,변기막힘하수구막힘싱크대막힘변기하수구싱,전문건설업,126.94711,37.598907,-1,-1.0,싱
13396614,할리스 남부터미널점,카페,127.0156,37.48654,308,4.25,할리스커피남부터미널
33647114,홈스테드 타워팰리스점,카페,127.053474,37.488792,299,4.25,홈스테드 커피타워팰리스점
37370223,이디야커피 신길역점,카페,126.91813,37.51496,496,4.13,이디야커피 신길역점
1510854101,카페비원,"카페,디저트",126.94957,37.398724,21,4.63,카페비원
19866892,커피 팩토리,카페,126.98192,37.580326,427,4.2,커피팩토리
36338924,몬스터코리아,수입가전,127.12745,37.528477,1,-1.0,다나인터내셔널
1226732194,MANNa restaurant,"스파게티,파스타전문",126.81106,37.52283,197,4.5,Manna
37434591,리버스로스터,"카페,디저트",126.8241,37.53545,2,-1.0,리버스로스터
12785670,엔제리너스 여의도리버타워점,카페,126.93876,37.51936,1394,4.33,엔제리너스 커피여의도리버타워점
31818672,이에스티엔터테인먼트,연예기획사,127.03432,37.500473,-1,-1.0,극단배우다방
-2,-2,-2,-2.0,-2.0,-2,-2.0,가예커피
11684188,커피빈 청담에스점,카페,127.047325,37.525143,707,4.51,커피빈 코리아청담에스점
1841667899,커피볶는성군 2호점,카페,127.07392,37.575703,178,4.51,커피볶는성군
36948660,커피빈 강남역랭기지타워점,카페,127.03021,37.49654,669,4.35,커피빈 코리아강남역랭기지타워점
11739024,커피빈 청담성당점,카페,127.05002,37.51996,449,4.53,커피빈 코리아청담성당점
1786612752,소풍가는날,김밥,127.16878,37.556625,330,4.27,소풍가는날
11839942,이디야 라이프점,카페,126.9391,37.519726,199,4.45,이디야커피 라이프점
20669053,스타벅스 동숭로아트점,카페,127.003876,37.58297,2969,4.44,스타벅스 동숭로아트점
1072102775,세븐일레븐 원흥반도스퀘어점,편의점,126.87577,37.64971,303,4.39,쎄븐스퀘어
1519272595,한앤둘치킨 동산점,"치킨,닭강정",126.88322,37.64295,25,-1.0,한앤둘
36993730,하루에,테이크아웃커피,127.13854,37.53707,17,4.7,하루에
1263490138,커피랑,카페,126.7849,37.485477,47,4.3,커피랑
1780417935,오가다 롯데몰 은평점,차,126.9179,37.637535,961,4.39,오가다
1913447621,오엘커피,"카페,디저트",126.9201,37.55195,105,-1.0,오엘커피
934749778,폴바셋 롯데몰 은평점,카페,126.91784,37.637638,4096,4.5,paulbassett
