상호명,지점명,상권업종소분류명,지번주소,도로명주소,경도,위도,상호지점명,id,name,category,visitorReviewCount,visitorReviewScore
버블베어,,커피전문점/카페/다방,서울특별시 강서구 방화동 819,서울특별시 강서구 금낭화로 167,126.813358391338,37.5809414781492,버블베어,706648145,버블베어,"카페,디저트",38,3.98
로얄커피숍,,커피전문점/카페/다방,서울특별시 강동구 성내동 132-5,서울특별시 강동구 천호옛길 65,127.124192744813,37.5349011022249,로얄커피숍,20622021,로얄커피숍호프,카페,1,평점없음
커피빈코리아낙성대역점,코리아낙성대역점,커피전문점/카페/다방,서울특별시 관악구 봉천동 1685-15,서울특별시 관악구 남부순환로 1909,126.961593240638,37.4781056688261,커피빈코리아낙성대역점 코리아낙성대역점,36848905,커피빈 낙성대역점,카페,640,4.43
커피랩,,커피전문점/카페/다방,서울특별시 마포구 서교동 327-19,서울특별시 마포구 와우산로29길 14,126.929222625466,37.5549642287037,커피랩,13072449,커피랩,카페,339,4.43
커핀그루나루신천점,신천점,커피전문점/카페/다방,서울특별시 송파구 잠실동 182-2,서울특별시 송파구 올림픽로12길 8,127.082767481921,37.5109879797319,커핀그루나루신천점 신천점,33586527,커핀그루나루 신천점,카페,495,4.33
빌리엔젤마리오아울렛,마리오아울렛,커피전문점/카페/다방,서울특별시 금천구 가산동 60-20,서울특별시 금천구 벚꽃로 266,126.885068137309,37.47843551394,빌리엔젤마리오아울렛 마리오아울렛,37387550,빌리엔젤마리오아울렛,케이크전문,697,4.3
할리스커피남부터미널,,커피전문점/카페/다방,서울특별시 서초구 서초동 1623-10,서울특별시 서초구 서초중앙로 52,127.015738833106,37.4867236974339,할리스커피남부터미널,13396614,할리스 남부터미널점,카페,308,4.25
홈스테드,커피타워팰리스점,커피전문점/카페/다방,서울특별시 강남구 도곡동 467-14,서울특별시 강남구 언주로30길 39,127.053197983987,37.4887418448763,홈스테드 커피타워팰리스점,33647114,홈스테드 타워팰리스점,카페,299,4.25
이디야커피,신길역점,커피전문점/카페/다방,서울특별시 영등포구 신길동 59-2,서울특별시 영등포구 영등포로 353,126.918061930143,37.5151175359347,이디야커피 신길역점,37370223,이디야커피 신길역점,카페,496,4.13
리버스로스터,,커피전문점/카페/다방,서울특별시 양천구 신월동 47-2,서울특별시 양천구 가로공원로 71,126.82394628602,37.5354372768401,리버스로스터,37434591,리버스로스터,"카페,디저트",2,평점없음
엔제리너스,커피여의도리버타워점,커피전문점/카페/다방,서울특별시 영등포구 여의도동 61-5,서울특별시 영등포구 63로 36,126.938611257408,37.519403747596,엔제리너스 커피여의도리버타워점,12785670,엔제리너스 여의도리버타워점,카페,1394,4.33
커피빈,코리아청담에스점,커피전문점/카페/다방,서울특별시 강남구 청담동 118-17,서울특별시 강남구 압구정로 461,127.047215839761,37.5252495612624,커피빈 코리아청담에스점,11684188,커피빈 청담에스점,카페,707,4.51
커피빈,코리아강남역랭기지타워점,커피전문점/카페/다방,서울특별시 강남구 역삼동 826-28,서울특별시 강남구 테헤란로4길 28,127.030074547889,37.4965196043765,커피빈 코리아강남역랭기지타워점,36948660,커피빈 강남역랭기지타워점,카페,669,4.35
커피빈,코리아청담성당점,커피전문점/카페/다방,서울특별시 강남구 청담동 76,서울특별시 강남구 삼성로 716,127.050021491746,37.5199018862561,커피빈 코리아청담성당점,11739024,커피빈 청담성당점,카페,449,4.53
이디야커피,라이프점,커피전문점/카페/다방,서울특별시 영등포구 여의도동 61-3,서울특별시 영등포구 63로 40,126.939197515335,37.5195441715436,이디야커피 라이프점,11839942,이디야 라이프점,카페,199,4.45
스타벅스,동숭로아트점,커피전문점/카페/다방,서울특별시 종로구 동숭동 30,서울특별시 종로구 동숭길 110,127.00388696535,37.5829644184897,스타벅스 동숭로아트점,20669053,스타벅스 동숭로아트점,카페,2969,4.44
오엘커피,,커피전문점/카페/다방,서울특별시 마포구 서교동 368-34,서울특별시 마포구 잔다리로 30-32,126.920098807327,37.551943742567,오엘커피,1913447621,오엘커피,"카페,디저트",105,평점없음
가비애,,커피전문점/카페/다방,서울특별시 마포구 서교동 328-70,서울특별시 마포구 와우산로29길 48-10,126.927863463335,37.5558259024562,가비애,33118849,카페 가비애,"카페,디저트",976,4.51
차칸커피,,커피전문점/카페/다방,서울특별시 중랑구 신내동 648,서울특별시 중랑구 신내로 225,127.091344647363,37.6169636426179,차칸커피,34842750,차칸커피,카페,170,4.4
훈고링고브레드,,커피전문점/카페/다방,서울특별시 마포구 성산동 639-10,서울특별시 마포구 잔다리로 130,126.913180907467,37.558385762908,훈고링고브레드,37432993,훈고링고브레드,베이커리,271,4.73
커피팡,,커피전문점/카페/다방,서울특별시 종로구 봉익동 10-1,서울특별시 종로구 율곡로10길 105,126.992224277182,37.5729539736493,커피팡,1997927155,커피팡,카페,34,4.65
Anscoffee,,커피전문점/카페/다방,서울특별시 종로구 구기동 166-3,서울특별시 종로구 비봉2길 58,126.959731055483,37.6138584692012,Anscoffee,1393819564,안스커피,카페,41,4.44
스타벅스남부터미널2점,남부터미널2점,커피전문점/카페/다방,서울특별시 서초구 서초동 1457-1,서울특별시 서초구 효령로 274,127.014197798445,37.4843861241449,스타벅스남부터미널2점 남부터미널2점,12950354,스타벅스 남부터미널2점,카페,3374,4.44
스타벅스,현대목동점,커피전문점/카페/다방,서울특별시 양천구 목동 916,서울특별시 양천구 목동동로 257,126.874681763736,37.5271465422093,스타벅스 현대목동점,11689870,스타벅스 현대목동점,카페,4186,4.39
마이시크릿메이트,,커피전문점/카페/다방,서울특별시 서대문구 창천동 5-62,서울특별시 서대문구 연세로4길 47,126.939045515317,37.5582245671943,마이시크릿메이트,13357149,마이시크릿메이트,"카페,디저트",154,평점없음
제일커피,,커피전문점/카페/다방,서울특별시 동작구 사당동 268-20,서울특별시 동작구 사당로14길 19,126.971688160038,37.4831677763305,제일커피,1131356691,제일커피,테이크아웃커피,121,4.52
CAFEWONDER카페원더,카페원더,커피전문점/카페/다방,서울특별시 서초구 양재동 7-1,서울특별시 서초구 바우뫼로41길 88,127.039877361823,37.4843182741708,CAFEWONDER카페원더 카페원더,20557383,카페원더,카페,232,4.46
만동제과,,커피전문점/카페/다방,서울특별시 서대문구 창천동 448,서울특별시 서대문구 연희로 32,126.9272611481,37.5615240070947,만동제과,1038526987,만동제과,베이커리,3117,4.5
명인박남커피,박남커피,커피전문점/카페/다방,서울특별시 마포구 망원동 395-19,서울특별시 마포구 포은로 69,126.905953386794,37.5534083542174,명인박남커피 박남커피,37997828,박남커피,"카페,디저트",43,4.35
지브릭커피,,커피전문점/카페/다방,서울특별시 은평구 진관동 154,서울특별시 은평구 연서로48길 12,126.93590762923,37.6371358883606,지브릭커피,34354822,지브릭커피,"카페,디저트",658,4.33
